,Address,AreaName,Price ($),lat,lng
0,"86 Waterford Dr Toronto, ON",Richview,999888,43.679882,-79.544266
1,"#80 - 100 BEDDOE DR Hamilton, ON",Chedoke Park B,399900,43.25,-79.904396
2,"213 Bowman Street Hamilton, ON",Ainslie Wood East,479000,43.25169,-79.919357
3,"102 NEIL Avenue Hamilton, ON",Greenford,285900,43.227161,-79.767403
6,"#1409 - 230 King St Toronto, ON",Downtown,362000,43.651478,-79.368118
7,"254A Monarch Park Ave Toronto, ON",Old East York,1488000,43.686375,-79.328918
8,"532 Caledonia Rd Toronto, ON",Fairbank,25,43.691193,-79.461662
9,"11 REBECCA Street Hamilton, ON",Central Hamilton,254900,43.258541,-79.867615
10,"617 BRIGADOON Drive Hamilton, ON",Gourley,364900,43.216557,-79.904991
12,"51 - 255 MOUNT ALBION Road Hamilton, ON",Red Hill,304900,43.215706,-79.794189
13,"1170 LAMBTON Drive Oakville, ON",Clearview,1289000,43.495579,-79.658272
19,"47 Armstrong Ave Toronto, ON",Wallace Emerson,113,43.664101,-79.439751
20,"3 Bracebridge Ave Toronto, ON",Old East York,599900,43.697842,-79.317368
21,"#808 - 2167 Lake Shore Blvd Toronto, ON",Parkdale,97,43.635578,-79.441345
22,"#2706 - 2167 Lake Shore Blvd Toronto, ON",Parkdale,49,43.635578,-79.441345
23,"#710 - 1080 Bay St Toronto, ON",Downtown,805900,43.666794,-79.388756
24,"#A - 753 Shaw St Toronto, ON",Midtown Toronto,97,43.662872,-79.423233
25,"160 Jenkinson Way Toronto, ON",Dorset Park,549900,43.749599,-79.270844
26,"40 Hawthorne Rd Toronto, ON",Richview,850000,43.692314,-79.552635
27,"#4905 - 16 Harbour St Toronto, ON",Downtown,1348000,43.642578,-79.3769
28,"166 Mcnicoll Ave Toronto, ON",Hillcrest Village,129,43.79948,-79.357445
29,"430 Military Tr Toronto, ON",Morningside,675000,43.788639,-79.207932
30,"67 Montressor Dr Toronto, ON",St. Andrew - Windfields,113,43.759003,-79.392075
31,"46 Bruce Farm Dr Toronto, ON",Bayview Woods - Steeles,49,43.799358,-79.377914
32,"#1215 - 2627 Mccowan Rd Toronto, ON",Agincourt,49,43.807091,-79.265533
33,"247 Westmount Ave Toronto, ON",St. Clair West Village,25,43.68227,-79.44339
34,"31 Yorkshire Rd Toronto, ON",Ionview,499900,43.740097,-79.273987
35,"34 Ordway Rd Toronto, ON",Kennedy Park,599000,43.733814,-79.25
36,"47 Waterbeach Cres Toronto, ON",Rexdale,549900,43.726189,-79.582047
37,"2 Moraine Hill Dr Toronto, ON",Tam O'Shanter,698000,43.774624,-79.298141
38,"11 Mid Pines Rd Toronto, ON",Woburn,145,43.769413,-79.211456
39,"#1002 - 61 Richview Rd Toronto, ON",Humber Heights - Westmount,25,43.68417,-79.516685
40,"20 Shrewsbury Sq Toronto, ON",Tam O'Shanter - Sullivan,145,43.772118,-79.309311
41,"#18 - 170 Wickson Tr Toronto, ON",Malvern,338000,43.805099,-79.21196
42,"6 Willesden Rd Toronto, ON",Don Valley Village,699800,43.792187,-79.365669
43,"#2705 - 70 Temperance St Toronto, ON",Downtown,325000,43.650372,-79.382347
44,"37 Chapel Park Sq Toronto, ON",Milliken,25,43.821087,-79.314796
45,"49 Cadillac Ave Toronto, ON",Wilson Heights,1149000,43.734875,-79.441017
46,"#711 - 16 Harrison Garden Blvd Toronto, ON",Willowdale,25,43.757698,-79.409042
47,"#3711 - 11 Brunel Crt Toronto, ON",Downtown,97,43.6395,-79.393425
48,"4 Danube Dr Toronto, ON",Wexford - Maryvale,749900,43.742485,-79.296707
49,"#1209 - 35 Finch Ave Toronto, ON",Willowdale,419000,43.779987,-79.412735
51,"61 Mayland Tr Hamilton, ON",Hamilton,399900,43.19001,-79.774529
52,"48 Evans St Hamilton, ON",Central Hamilton,329000,43.25713,-79.855667
53,"397 East 21st St Hamilton, ON",Burkholme,345000,43.228962,-79.857834
54,"412 Wilson Ave Hamilton, ON",Central Hamilton,115000,43.254719,-79.851631
56,"312 WEXFORD AVE S Hamilton, ON",Delta East,449900,43.232216,-79.816681
57,"532 FERGUSON AVE N Hamilton, ON",North End East,229900,43.27071,-79.854385
58,"52 WILLIAM Street Hamilton, ON",Landsdale,249000,43.260704,-79.845901
59,"5 WEST - 174 MOUNTAIN PARK Avenue Hamilton, ON",East Hamilton,585000,43.242687,-79.852043
60,"374 BERKINDALE Drive Hamilton, ON",Riverdale East,399900,43.226192,-79.744423
61,"15 JOHN Street Hamilton, ON",Central Hamilton,0,43.25642,-79.86644
62,"15 JOHN Street Hamilton, ON",Central Hamilton,0,43.25642,-79.86644
63,"50 ARMSTRONG Avenue Hamilton, ON",McQuesten West,239900,43.235504,-79.781685
64,"259 STRATHEARNE Avenue Hamilton, ON",Homeside,279000,43.244816,-79.797966
65,"210 1490 Bishops Gate Oakville, ON",Glen Abbey,399900,43.439903,-79.739502
66,"87 CHISHOLM ST Oakville, ON",Oakville,1249900,43.441227,-79.672119
67,"6 1267 Dorval Drive Oakville, ON",Oakville,988000,43.449455,-79.711067
68,"3153 OLD BRONTE RD N Oakville, ON",Oakville,1728888,43.439838,-79.781158
69,"121 ELTON PARK Road Oakville, ON",Oakville,3358000,43.45615,-79.658463
70,"144 Kerr Street Oakville, ON",Kerr Village,1125,43.440445,-79.676041
71,"2491 Hemmford Drive Oakville, ON",West Oak Trails,1150000,43.426399,-79.758904
72,"104 2338 Taunton Drive Oakville, ON",Uptown Core,438888,43.481838,-79.71537
73,"447 DRUMMOND Road Oakville, ON",Oakville,1799000,43.471046,-79.662132
74,"#427 - 2480 PRINCE MICHAEL DR Oakville, ON",Oakville,343500,43.497147,-79.707939
75,"493 DUNDAS ST Oakville, ON",Oakville,90000,43.466911,-79.745033
76,"3169 Trailside Drive Oakville, ON",Oakville,1599900,43.470753,-79.747871
77,"2482 Felhaber Crescent Oakville, ON",Oakville,899000,43.49506,-79.709579
93,"9 Struthers St Toronto, ON",Mimico,749000,43.609005,-79.496078
94,"1574 Pharmacy Ave Toronto, ON",Wexford - Maryvale,649900,43.763866,-79.312263
95,"26 Waterbury Dr Toronto, ON",Richview,595500,43.687061,-79.571083
96,"44 Dewlane Dr Toronto, ON",Newtonbrook,145,43.787003,-79.441383
97,"#3010 - 65 St  Mary St Toronto, ON",Downtown,312000,43.666897,-79.389038
98,"1 Silbury Dr Toronto, ON",Agincourt,709900,43.809811,-79.263359
99,"1465A Birchmount Rd Toronto, ON",Dorset Park,599900,43.755791,-79.28788
100,"85 Autumn Glen Circ Toronto, ON",Rexdale,25,43.733597,-79.608871
101,"143 Princess Margaret Blvd Toronto, ON",Princess Margaret,1049000,43.666405,-79.553543
102,"#9 - 42 Pinery Tr Toronto, ON",Malvern,105,43.807106,-79.227829
103,"175 Haddington Ave Toronto, ON",Nortown,2888000,43.733734,-79.425026
104,"## 911 - 5 Shady Gfwy Toronto, ON",Flemingdon Park,279900,43.717915,-79.326309
105,"#1805 - 16 Harrison Garden Blvd Toronto, ON",Willowdale,299900,43.757698,-79.409042
106,"68 Kenilworth Ave Toronto, ON",The Beach,1929000,43.668091,-79.301514
107,"#1505 - 125 Western Battery Rd Toronto, ON",Niagara,399900,43.639946,-79.416664
108,"110 Kirker Ave Toronto, ON",Woburn,25,43.759617,-79.206642
109,"138 Mckee Ave Toronto, ON",Willowdale,3988000,43.774734,-79.405685
110,"#2403 - 375 King St Toronto, ON",Downtown,548000,43.645641,-79.392952
111,"22 Strathearn Blvd Toronto, ON",Midtown Toronto,5288000,43.691135,-79.415573
112,"5051 Finch Ave Toronto, ON",Bridlewood,145,43.796768,-79.315636
113,"#406 - 300 Manitoba St Toronto, ON",Mimico,309000,43.62421,-79.489449
114,"#1901 - 231 Fort York Blvd Toronto, ON",Niagara,369000,43.636837,-79.406052
115,"#1010 - 65 East Liberty St Toronto, ON",Liberty Village,420000,43.638054,-79.414818
116,"#3706 - 15 Fort York Blvd Toronto, ON",Downtown,33,43.640057,-79.393967
117,"#203 - 17 Kenaston Gdns Toronto, ON",Bayview Village,429000,43.766094,-79.385582
118,"#502 - 2 Anndale Dr Toronto, ON",Willowdale,559000,43.760464,-79.410248
119,"1060 Midland Ave Toronto, ON",Bendale,699900,43.744205,-79.262428
120,"#701 - 3 Massey Sq Toronto, ON",Old East York,315000,43.696827,-79.293411
121,"#711 - 33 Singer Crt Toronto, ON",Bayview Village,428000,43.769611,-79.368416
122,"70 Dundalk Dr Toronto, ON",Dorset Park,113,43.769642,-79.286133
123,"#1127 - 5 Everson Dr Toronto, ON",Willowdale,348800,43.757408,-79.406853
124,"#1501 - 3050 Ellesmere Rd Toronto, ON",Morningside,209900,43.786037,-79.197723
125,"112 Helendale Ave Toronto, ON",Midtown Toronto,989000,43.708542,-79.402115
126,"#2004 - 21 Balmuto St Toronto, ON",Downtown,445900,43.669151,-79.387375
127,"#707 - 5 Rowntree Rd Toronto, ON",Rexdale,319901,43.74955,-79.58075
128,"255 Seaton St Toronto, ON",Downtown,25,43.660812,-79.370216
129,"45 Valhalla Blvd Toronto, ON",Birch Cliff,699000,43.688419,-79.267677
130,"#917 - 103 The Queensway Ave Toronto, ON",Swansea,25,43.636292,-79.470467
131,"#512 - 35 Bastion St Toronto, ON",Niagara,105,43.637207,-79.403572
132,"102 Mcgillivray Ave Toronto, ON",Nortown,1299900,43.736374,-79.430412
133,"1 Axsmith Cres Toronto, ON",Don Valley Village,41,43.78788,-79.351738
134,"#1912 - 62 Forest Manor Rd Toronto, ON",Henry Farm,325000,43.773922,-79.345726
135,"14 Rosemount Dr Toronto, ON",Ionview,25,43.732124,-79.275276
136,"9 Isaac Devins Blvd Toronto, ON",Humberlea,1049000,43.729229,-79.534203
137,"#2202 - 88 Grangeway Ave Toronto, ON",Woburn,25,43.773827,-79.250023
138,"#3601 - 2220 Lakeshore Blvd Toronto, ON",Mimico,320000,43.62273,-79.483192
139,"#320 - 18 William Carson Cres Toronto, ON",York Mills,145,43.749531,-79.407188
140,"#537 - 665 Kennedy Rd Toronto, ON",Scarborough Junction,179000,43.72599,-79.265015
141,"#2112 - 4968 Yonge St Toronto, ON",Lansing,113,43.765152,-79.412277
142,"#2709 - 70 Temperance St Toronto, ON",Downtown,459000,43.650372,-79.382347
143,"179 Carolbreen Sq Toronto, ON",Milliken,25,43.807594,-79.28289
144,"#2708 - 5168 Yonge St Toronto, ON",Willowdale,409900,43.769829,-79.413467
145,"#1003 - 763 Bay St Toronto, ON",Downtown,105,43.660103,-79.385086
146,"#1905 - 17 Anndale Dr Toronto, ON",Willowdale,580000,43.760136,-79.40789
147,"#303 - 5229 Dundas St Toronto, ON",Islington - City Centre West,33,43.639355,-79.536949
148,"#1509 - 88 Alton Towers Circ Toronto, ON",Toronto,25,43.824669,-79.274445
149,"#2002 - 2 Anndale Dr Toronto, ON",Willowdale,605900,43.760464,-79.410248
150,"#613 - 4064 Lawrence Ave Toronto, ON",West Hill,25,43.76638,-79.197601
151,"#901 - 2756 Old Leslie St Toronto, ON",Bayview Village,105,43.769722,-79.36692
152,"1571-73 Bayview Ave Toronto, ON",Leaside,25,43.7057,-79.374969
153,"#Main Fl - 454 Bloor St Toronto, ON",Midtown Toronto,49,43.66571,-79.409096
154,"1571-73 Bayview Ave Toronto, ON",Leaside,97,43.7057,-79.374969
155,"#2016 - 155 Beecroft Rd Toronto, ON",Willowdale,469900,43.765537,-79.413155
156,"#403 - 35 Brian Peck Cres Toronto, ON",Leaside,25,43.714638,-79.35463
157,"#1016 - 35 Bales Ave Toronto, ON",Willowdale,515000,43.760181,-79.408218
158,"88 Twenty Sixth St Toronto, ON",Long Branch,25,43.600151,-79.526192
159,"#729 - 39 Queens Quay Way Toronto, ON",Downtown,438800,43.641346,-79.372421
160,"22 Norman Wesley Way Toronto, ON",Downsview,579999,43.743221,-79.488487
161,"25 Parkland Rd Toronto, ON",Birch Cliff,1790000,43.685295,-79.281013
162,"2 La Rush Dr Toronto, ON",Humber Heights - Westmount,25,43.691578,-79.516853
163,"30 Exeter St Toronto, ON",Carleton Village,699900,43.673656,-79.455894
164,"#305 - 9 Burnhamthorpe Cres Toronto, ON",Islington,598000,43.649681,-79.530716
165,"#Loft 2 - 2B Minto St Toronto, ON",Leslieville,1369900,43.663742,-79.324966
166,"#815 - 39 Queens Quay Way Toronto, ON",Downtown,33,43.641346,-79.372421
167,"#716 - 169 Fort York Blvd Toronto, ON",Niagara,25,43.638512,-79.400894
